month,bus,rail_boardings,total_rides,total_saturdays,total_sunday_or_holiday,total_weekdays,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,fog,heavy_fog,thunder,ice_pellets_sleet_small_hail,hail,glaze_or_rime,dust_volcanic_ash_blowing_dust_sand,smoke_or_haze,blowing_or_drifting_snow,tornado_waterspout_funnel_cloud,high_or_damaging_winds,avg_gas_price
2024-01,12883065,8552283,21435348,4,5,22,0.1288968318091717,0.4401592600325329,2.5098719603145967,26.193548387096776,30.561635944700463,21.258064516129032,27.0,7.0,0.0,4.0,1.0,4.0,0.0,9.0,2.0,0.0,1.0,3.223
2024-02,14408475,9300019,23708494,4,4,21,0.0230224509505059,0.0465243586020311,0.0650229843447433,39.13793103448276,48.44396551724138,28.939655172413797,18.0,4.0,5.0,1.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,3.483
2024-03,14794052,10107439,24901491,5,5,21,0.139755862210358,0.017691424143037,0.0164891222805701,43.64516129032258,52.61059907834101,34.30587557603687,15.0,1.0,6.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,3.91
2024-04,15615211,10458339,26073550,4,4,22,0.1621071888582027,0.0005897435897435,0.0,52.8,61.28333333333333,42.895833333333336,14.0,1.0,13.0,2.0,3.0,1.0,0.0,4.0,0.0,0.0,2.0,4.103
2024-05,16367601,11330441,27698042,4,5,22,0.1476407653885474,0.0,0.0,64.90322580645162,74.68951612903226,53.66532258064516,18.0,1.0,18.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,2.0,4.133
2024-06,14742769,10928671,25671440,5,5,20,0.1507796450443635,0.0,0.0,74.03333333333333,83.12142857142858,63.68273809523809,16.0,1.0,11.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,4.053
2024-07,15306884,11279758,26586642,4,5,22,0.1756247820906221,0.0,0.0,74.54838709677419,82.95679723502305,65.51152073732719,18.0,2.0,9.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,4.0,4.123
2024-08,15534600,11744693,27279293,5,4,22,0.1094362153807022,0.0,0.0,74.45161290322581,82.97407834101382,64.84677419354838,11.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.985
2024-09,16161092,11665977,27827069,4,6,20,0.0695765638818834,0.0,0.0152777777777777,70.6,79.39047619047619,59.56488095238095,9.0,1.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.617
2024-10,17514190,12630875,30145065,4,4,23,0.0458957602084314,0.0,0.0,59.774193548387096,69.88133640552995,47.75345622119816,7.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.524
2024-11,14700298,10312595,25012893,5,5,20,0.114420135708253,0.0747775372775372,0.0129027777777777,46.333333333333336,52.34583333333333,39.54880952380952,20.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,3.303
2024-12,13705388,9152319,22857707,4,6,21,0.063332375735356,0.0675152323822874,0.1662604518597368,32.45161290322581,38.141129032258064,25.161290322580644,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.317
2025-01,13762257,9152197,22914454,4,5,22,0.0306584184274065,0.1514439752637942,0.5407783732814816,23.548387096774192,29.830645161290324,14.608870967741936,6.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,3.324
2025-02,13725525,8781408,22506933,4,4,20,0.0445658392842536,0.1560226464981453,0.9043364200201528,27.73809523809524,34.47767857142857,19.544642857142858,17.0,4.0,1.0,1.0,1.0,4.0,0.0,7.0,0.0,0.0,1.0,3.302
2025-03,15565051,10668550,26233601,5,5,21,0.1222840927006048,0.060999250825929,0.0506247346377021,44.3010752688172,54.3508064516129,33.641129032258064,15.0,1.0,8.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,3.382
2025-04,16281859,11247435,27529294,4,4,22,0.1042077251702441,0.0,0.0,50.8,59.50833333333333,40.7875,15.0,1.0,6.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.499
2025-05,16357704,11775315,28133019,5,5,21,0.0659577011433465,0.0,0.0,57.60215053763441,67.07949308755761,48.27016129032258,16.0,0.0,6.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,3.483
2025-06,15096977,11828838,26925815,4,5,21,0.1203623792195024,0.0,0.0,73.81111111111112,82.87916666666666,63.38333333333333,16.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.55
2025-07,15407467,12403716,27811183,4,5,22,0.1737623458907845,0.0,0.0,77.78494623655915,85.80472350230414,68.5241935483871,20.0,0.0,15.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0,3.561
2025-08,16263989,12970077,29234066,5,5,21,0.1821356325871066,0.0,0.0,74.41379310344827,81.69239631336406,64.52649769585254,16.0,3.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,3.559
2025-09,16720898,12732813,29453711,4,5,21,0.0414144377593419,0.0,0.0,69.07142857142857,78.81607142857142,58.325,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.566
2025-10,17126989,13324046,30451035,4,4,23,0.0873690347860814,0.0,0.0,58.39784946236559,66.40380184331798,49.55414746543779,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.331
2025-11,14264012,10616667,24880679,5,6,19,0.0830973168168146,0.3723629202538815,0.4925314339031862,42.88888888888889,49.645833333333336,34.47083333333333,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.346
