,bus,rail_boardings,total_rides,total_saturdays,total_sunday_or_holiday,total_weekdays,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,fog,heavy_fog,thunder,ice_pellets_sleet_small_hail,hail,glaze_or_rime,dust_volcanic_ash_blowing_dust_sand,smoke_or_haze,blowing_or_drifting_snow,tornado_waterspout_funnel_cloud,high_or_damaging_winds,avg_gas_price
bus,1.0,0.8848828531401243,0.9663931281149053,-0.024894457154222907,-0.2809537166528154,0.4020078547914893,0.0675144157636963,-0.682702733790476,-0.6359842523302344,0.654751890900466,0.6824967698522629,0.6204134926760269,-0.48847968300548283,-0.5442361558817039,0.38839784613375516,-0.42456659300421784,-0.053889572959200736,-0.6885174479391047,0.14909975901546574,-0.12043100663621475,-0.5452571642163644,-0.0019662352270341764,0.04863199941460652,0.28059534507348666
rail_boardings,0.8848828531401243,1.0,0.9748908172093341,0.07685143883135481,-0.10422450147941915,0.2989366868495355,0.2373820947394268,-0.5903615440609215,-0.583723015765293,0.8309484663325799,0.8359211246843455,0.8189371533821987,-0.43575375579521236,-0.5717622133312881,0.42918170128215816,-0.5587777333821216,-0.32301275353044695,-0.7333359085435547,0.24944734732451168,-0.023237388216187517,-0.49797775688489293,0.04443113738015245,0.07161475186785102,0.23417591655813252
total_rides,0.9663931281149053,0.9748908172093341,1.0,0.030511168373002075,-0.19182904991104088,0.3571551637140743,0.1632795687436086,-0.6521707936233883,-0.6261732975258946,0.7715816006836677,0.7875893734596721,0.7485373546888396,-0.4739985201492487,-0.5757120738507133,0.4225272205451919,-0.5113379845759413,-0.2040231958779508,-0.733853839162344,0.20894010522133397,-0.0703963750539068,-0.5354807187796992,0.023580261702019583,0.06277070676918683,0.2633740569433876
total_saturdays,-0.024894457154222907,0.07685143883135481,0.030511168373002075,1.0,0.19968823051972695,-0.4701867516161517,0.25977538630806934,0.03370376959828644,-0.18406974298682155,0.10475819565147326,0.1040262273107352,0.11512951692474918,0.09824083086930335,-0.09380407429908792,0.0039075858289555135,-0.07542070099643744,0.08540979350606012,-0.3579169947954393,0.09860132971832657,-0.08167007816514203,-0.0743827055520695,-0.1556997888323045,0.2185650947359682,0.08228239614598708
total_sunday_or_holiday,-0.2809537166528154,-0.10422450147941915,-0.19182904991104088,0.19968823051972695,1.0,-0.5507054218352805,0.07678400516205426,0.28052343724138007,0.06777637333165369,0.007325229273738899,-0.01577389411638098,0.02607053816430848,0.031144630990033756,-0.10279519909203287,-0.1697150107038975,-0.1666081787373059,-0.2158565270744854,-0.141188734501833,0.08438367882147811,-0.02216943977160704,0.09902233901975112,0.058296403732908925,-0.019094633696776074,-0.13276754746927127
total_weekdays,0.4020078547914893,0.2989366868495355,0.3571551637140743,-0.4701867516161517,-0.5507054218352805,1.0,0.11888156828128085,-0.28164578688690534,-0.009165867170223005,0.12425900337264412,0.13204386617207162,0.11703610632621932,-0.10962169024275109,-0.1290890721455078,0.2766306860065813,0.1400287030395835,-0.00858088747111521,0.012328778690922164,0.07472108837776194,-0.0635080044822436,0.08768350762380227,0.15955584935288358,0.11945497452853852,0.16939417483908853
PRCP,0.0675144157636963,0.2373820947394268,0.1632795687436086,0.25977538630806934,0.07678400516205426,0.11888156828128085,1.0,-0.1603278516265995,-0.08473130408991117,0.48340118869280746,0.460175441193074,0.5119119548417161,0.5122146477745438,0.0811833859631588,0.6610834440066664,0.08215020521245772,0.141701381604455,-0.30225496991194295,0.10261881347496762,0.4127598007774411,-0.022684160850892643,0.31632922800721225,0.5276178298921211,0.5526264267354699
SNOW,-0.682702733790476,-0.5903615440609215,-0.6521707936233883,0.03370376959828644,0.28052343724138007,-0.28164578688690534,-0.1603278516265995,1.0,0.8586423260191098,-0.6446412416764644,-0.6715445114253045,-0.6123574718954663,0.27112384188325184,0.5144209285611561,-0.5635161308725847,0.5217319188607413,-0.06492228350164124,0.6335740954927589,-0.15984827050291955,-0.08128384692254885,0.6722290308735559,-0.11043106253947275,-0.12422780479907554,-0.5045061479262068
SNWD,-0.6359842523302344,-0.583723015765293,-0.6261732975258946,-0.18406974298682155,0.06777637333165369,-0.009165867170223005,-0.08473130408991117,0.8586423260191098,1.0,-0.5832650289690422,-0.6113910014629292,-0.5467830012065087,0.41855164910967985,0.7106241062663602,-0.443772835760248,0.6746334176104399,-0.026070439764191673,0.8177511879585725,-0.11871619684228468,0.1000584497758038,0.7958441435046804,-0.08201499907813672,-0.0972107289066553,-0.4209071635737339
TAVG,0.654751890900466,0.8309484663325799,0.7715816006836677,0.10475819565147326,0.007325229273738899,0.12425900337264412,0.48340118869280746,-0.6446412416764644,-0.5832650289690422,1.0,0.9976070082532041,0.996996132232982,-0.13383936381398004,-0.44069619857004305,0.6862394166207862,-0.5742292335687009,-0.1906674271938155,-0.7262845871423221,0.23298253449077422,0.2345939308349754,-0.5107479121530317,0.24619150649578808,0.3096091175284598,0.5791961850465162
TMAX,0.6824967698522629,0.8359211246843455,0.7875893734596721,0.1040262273107352,-0.01577389411638098,0.13204386617207162,0.460175441193074,-0.6715445114253045,-0.6113910014629292,0.9976070082532041,1.0,0.9900120731803168,-0.15434452790076156,-0.4632689252395448,0.6995107537754798,-0.567919855268055,-0.1548088418775351,-0.7437035266216433,0.23155288641655872,0.225638357541683,-0.5437555147229113,0.23697061030317232,0.3114888750147274,0.592776263502422
TMIN,0.6204134926760269,0.8189371533821987,0.7485373546888396,0.11512951692474918,0.02607053816430848,0.11703610632621932,0.5119119548417161,-0.6123574718954663,-0.5467830012065087,0.996996132232982,0.9900120731803168,1.0,-0.09572107537634503,-0.4080044427695092,0.6691157251279767,-0.5688008739849465,-0.21237365456728638,-0.7090940602519733,0.2468576617943641,0.2454663891919761,-0.46957934026742465,0.2634474675327219,0.31481215707958016,0.5648559462666034
fog,-0.48847968300548283,-0.43575375579521236,-0.4739985201492487,0.09824083086930335,0.031144630990033756,-0.10962169024275109,0.5122146477745438,0.27112384188325184,0.41855164910967985,-0.13383936381398004,-0.15434452790076156,-0.09572107537634503,1.0,0.6835499683324121,0.21493047475284902,0.4043256719987565,0.4042249045073854,0.2667403628447825,0.21575329639578936,0.698469494982117,0.3840395279514066,0.14905300940960528,0.3639271702677023,0.047967666975249706
heavy_fog,-0.5442361558817039,-0.5717622133312881,-0.5757120738507133,-0.09380407429908792,-0.10279519909203287,-0.1290890721455078,0.0811833859631588,0.5144209285611561,0.7106241062663602,-0.44069619857004305,-0.4632689252395448,-0.4080044427695092,0.6835499683324121,1.0,-0.2900910329985508,0.5746092903186358,0.27064206007410707,0.6281978001442062,-0.23977036952654393,0.4675070042121653,0.6058426093633622,0.08015089697548824,0.06000672112917085,-0.24726312160513014
thunder,0.38839784613375516,0.42918170128215816,0.4225272205451919,0.0039075858289555135,-0.1697150107038975,0.2766306860065813,0.6610834440066664,-0.5635161308725847,-0.443772835760248,0.6862394166207862,0.6995107537754798,0.6691157251279767,0.21493047475284902,-0.2900910329985508,1.0,-0.16162053375307542,0.33808479804212876,-0.44025658554137287,0.25231197708406017,0.4349461477556299,-0.43482258197738843,0.11133908277947589,0.5076543736821075,0.7409601568508164
ice_pellets_sleet_small_hail,-0.42456659300421784,-0.5587777333821216,-0.5113379845759413,-0.07542070099643744,-0.1666081787373059,0.1400287030395835,0.08215020521245772,0.5217319188607413,0.6746334176104399,-0.5742292335687009,-0.567919855268055,-0.5688008739849465,0.4043256719987565,0.5746092903186358,-0.16162053375307542,1.0,0.4380333218767849,0.5813426228408679,-0.1784779537568909,0.1478307490955734,0.5647395766713722,-0.12330136579666252,0.09725756268420349,-0.2206468874409415
hail,-0.053889572959200736,-0.32301275353044695,-0.2040231958779508,0.08540979350606012,-0.2158565270744854,-0.00858088747111521,0.141701381604455,-0.06492228350164124,-0.026070439764191673,-0.1906674271938155,-0.1548088418775351,-0.21237365456728638,0.4042249045073854,0.27064206007410707,0.33808479804212876,0.4380333218767849,1.0,0.05731803115835224,0.03609222518856503,0.26375823934897846,-0.038823959298815026,0.0249342877745704,0.4480223906167526,0.3050462456379376
glaze_or_rime,-0.6885174479391047,-0.7333359085435547,-0.733853839162344,-0.3579169947954393,-0.141188734501833,0.012328778690922164,-0.30225496991194295,0.6335740954927589,0.8177511879585725,-0.7262845871423221,-0.7437035266216433,-0.7090940602519733,0.2667403628447825,0.6281978001442062,-0.44025658554137287,0.5813426228408679,0.05731803115835224,1.0,-0.15124753549550501,0.05324237700072826,0.6243688552240853,-0.10448925095464313,-0.14248700912960668,-0.40074492510888704
dust_volcanic_ash_blowing_dust_sand,0.14909975901546574,0.24944734732451168,0.20894010522133397,0.09860132971832657,0.08438367882147811,0.07472108837776194,0.10261881347496762,-0.15984827050291955,-0.11871619684228468,0.23298253449077422,0.23155288641655872,0.2468576617943641,0.21575329639578936,-0.23977036952654393,0.25231197708406017,-0.1784779537568909,0.03609222518856503,-0.15124753549550501,1.0,0.24330894450961327,-0.11175975124542258,-0.0657951694959769,0.23398021168490982,-0.07661350982554482
smoke_or_haze,-0.12043100663621475,-0.023237388216187517,-0.0703963750539068,-0.08167007816514203,-0.02216943977160704,-0.0635080044822436,0.4127598007774411,-0.08128384692254885,0.1000584497758038,0.2345939308349754,0.225638357541683,0.2454663891919761,0.698469494982117,0.4675070042121653,0.4349461477556299,0.1478307490955734,0.26375823934897846,0.05324237700072826,0.24330894450961327,1.0,0.0992224091506806,0.08583309398855538,0.20795516052515792,0.0655923678739901
blowing_or_drifting_snow,-0.5452571642163644,-0.49797775688489293,-0.5354807187796992,-0.0743827055520695,0.09902233901975112,0.08768350762380227,-0.022684160850892643,0.6722290308735559,0.7958441435046804,-0.5107479121530317,-0.5437555147229113,-0.46957934026742465,0.3840395279514066,0.6058426093633622,-0.43482258197738843,0.5647395766713722,-0.038823959298815026,0.6243688552240853,-0.11175975124542258,0.0992224091506806,1.0,-0.07720914364821829,-0.22399171362527878,-0.4039099138936641
tornado_waterspout_funnel_cloud,-0.0019662352270341764,0.04443113738015245,0.023580261702019583,-0.1556997888323045,0.058296403732908925,0.15955584935288358,0.31632922800721225,-0.11043106253947275,-0.08201499907813672,0.24619150649578808,0.23697061030317232,0.2634474675327219,0.14905300940960528,0.08015089697548824,0.11133908277947589,-0.12330136579666252,0.0249342877745704,-0.10448925095464313,-0.0657951694959769,0.08583309398855538,-0.07720914364821829,1.0,0.5529962603181718,0.3849106953526729
high_or_damaging_winds,0.04863199941460652,0.07161475186785102,0.06277070676918683,0.2185650947359682,-0.019094633696776074,0.11945497452853852,0.5276178298921211,-0.12422780479907554,-0.0972107289066553,0.3096091175284598,0.3114888750147274,0.31481215707958016,0.3639271702677023,0.06000672112917085,0.5076543736821075,0.09725756268420349,0.4480223906167526,-0.14248700912960668,0.23398021168490982,0.20795516052515792,-0.22399171362527878,0.5529962603181718,1.0,0.4815234210199734
avg_gas_price,0.28059534507348666,0.23417591655813252,0.2633740569433876,0.08228239614598708,-0.13276754746927127,0.16939417483908853,0.5526264267354699,-0.5045061479262068,-0.4209071635737339,0.5791961850465162,0.592776263502422,0.5648559462666034,0.047967666975249706,-0.24726312160513014,0.7409601568508164,-0.2206468874409415,0.3050462456379376,-0.40074492510888704,-0.07661350982554482,0.0655923678739901,-0.4039099138936641,0.3849106953526729,0.4815234210199734,1.0
