,total_rides
total_rides,1.0
rail_boardings,0.9748908172093341
bus,0.9663931281149053
TMAX,0.7875893734596721
TAVG,0.7715816006836677
TMIN,0.7485373546888396
thunder,0.4225272205451919
total_weekdays,0.3571551637140743
avg_gas_price,0.2633740569433876
dust_volcanic_ash_blowing_dust_sand,0.20894010522133397
PRCP,0.1632795687436086
high_or_damaging_winds,0.06277070676918683
total_saturdays,0.030511168373002075
tornado_waterspout_funnel_cloud,0.023580261702019583
smoke_or_haze,-0.0703963750539068
total_sunday_or_holiday,-0.19182904991104088
hail,-0.2040231958779508
fog,-0.4739985201492487
ice_pellets_sleet_small_hail,-0.5113379845759413
blowing_or_drifting_snow,-0.5354807187796992
heavy_fog,-0.5757120738507133
SNWD,-0.6261732975258946
SNOW,-0.6521707936233883
glaze_or_rime,-0.733853839162344
