,count,mean,std,min,25%,50%,75%,max
bus,23.0,15317667.52173913,1195546.253196796,12883065.0,14554386.5,15407467.0,16272924.0,17514190.0
rail_boardings,23.0,10998455.260869564,1380154.6960322375,8552283.0,10210017.0,11247435.0,11802076.5,13324046.0
total_rides,23.0,26316122.782608695,2500867.8229230745,21435348.0,24891085.0,26586642.0,27819126.0,30451035.0
total_saturdays,23.0,4.3478260869565215,0.48698475355767396,4.0,4.0,4.0,5.0,5.0
total_sunday_or_holiday,23.0,4.826086956521739,0.6503267649311159,4.0,4.0,5.0,5.0,6.0
total_weekdays,23.0,21.26086956521739,1.009833078211346,19.0,21.0,21.0,22.0,23.0
PRCP,23.0,0.1037523261326906,0.04952955215683964,0.0230224509505059,0.06464503843935124,0.1094362153807022,0.1436983137994527,0.1821356325871066
SNOW,23.0,0.060351580385605175,0.11913479819205196,0.0,0.0,0.0,0.0642572416041082,0.4401592600325329
SNWD,23.0,0.20756939287816192,0.551710523479191,0.0,0.0,0.0,0.05782385949122269,2.5098719603145967
TAVG,23.0,54.74913326746766,17.53141598147828,23.548387096774192,43.26702508960574,57.60215053763441,72.20555555555555,77.78494623655915
TMAX,23.0,62.908220817586596,18.442945818408578,29.830645161290324,50.99583333333334,66.40380184331798,80.54143625192012,85.80472350230414
TMIN,23.0,45.33784916297612,16.69291397555442,14.608870967741936,33.973502304147466,47.75345622119816,61.47410714285714,68.5241935483871
fog,23.0,14.130434782608695,5.659299248510343,2.0,10.5,15.0,17.5,27.0
heavy_fog,23.0,1.3478260869565217,1.773765784789113,0.0,0.0,1.0,1.5,7.0
thunder,23.0,6.3478260869565215,5.192728269173186,0.0,2.0,6.0,10.0,18.0
ice_pellets_sleet_small_hail,23.0,0.6086956521739131,1.0761518325953914,0.0,0.0,0.0,1.0,4.0
hail,23.0,0.8695652173913043,1.140348743550409,0.0,0.0,0.0,1.0,3.0
glaze_or_rime,23.0,0.6086956521739131,1.269900870676083,0.0,0.0,0.0,0.5,4.0
dust_volcanic_ash_blowing_dust_sand,23.0,0.08695652173913043,0.28810406552003043,0.0,0.0,0.0,0.0,1.0
smoke_or_haze,23.0,5.434782608695652,3.975219684684354,0.0,2.5,5.0,8.0,12.0
blowing_or_drifting_snow,23.0,0.17391304347826086,0.4910261901035311,0.0,0.0,0.0,0.0,2.0
tornado_waterspout_funnel_cloud,23.0,0.043478260869565216,0.2085144140570748,0.0,0.0,0.0,0.0,1.0
high_or_damaging_winds,23.0,1.173913043478261,1.1140496934013262,0.0,0.0,1.0,2.0,4.0
avg_gas_price,23.0,3.594652173913044,0.2992272788815844,3.223,3.3385,3.524,3.7635,4.133
